week,FR,BE,DE,CH,IT,ES,UK
201851,0.876191985,0.509348915,0.997217556,0.961379717,0,0.856922213,0.743282256
201852,0.907365753,0.388480801,0.994645108,0.963148585,0,0.853131143,0.770264268
201853,0.890479962,0.396661102,0.98847648,0.958726415,0,0.853131143,0.771374639
201900,0.890004752,0.652587646,0.997007559,0.964033019,0,0.99761303,0.768820786
201901,0.890701727,0.683472454,0.998188786,0.961084906,0,1,0.76027093
201902,0.854617456,0.683305509,0.999763754,0.964033019,0,0.99943836,0.641683322
201903,0.874972279,0.683806344,1,0.962853774,0,0.99957877,0.773484344
201904,0.88555362,0.683639399,0.996823814,0.96196934,0,0.99985959,0.776704419
201905,0.882734041,0.751585977,0.996115078,0.962853774,0,1,0.720741728
201906,0.879233328,0.751419032,0.994881353,0.963443396,0,0.99929795,0.721963136
201907,0.857642959,0.752253756,0.992807644,0.962264151,0,0.99943836,0.715745059
201908,0.851591953,0.751252087,0.993463881,0.963148585,0,0.99887672,0.714745725
201909,0.821431966,0.75442404,0.988030239,0.960495283,0,0.99845549,0.706084832
201910,0.822762553,0.826711185,0.991783914,0.96196934,0,0.99775344,0.603486565
201911,0.772944717,0.828547579,0.992545149,0.969634434,0,0.99775344,0.654008439
201912,0.808965626,0.828881469,0.990523939,0.969929245,0,0.99803426,0.691872085
201913,0.743814351,0.829048414,0.990733936,0.970813679,0,0.99705139,0.713524317
201914,0.775827657,0.830550918,0.989788955,0.971403302,0,0.850463353,0.712969132
201915,0.737082211,0.829382304,0.845206846,0.970224057,0,0.9873631,0.716744393
201916,0.740250277,0.826210351,0.705113398,0.968160377,0,0.98483572,0.715634022
201917,0.722746713,0.827712855,0.703643427,0.968455189,0,0.855518113,0.715967133
201918,0.712672264,0.828046745,0.710547039,0.862323113,0,0.851165403,0.714079503
201919,0.726896879,0.828380634,0.69847228,0.862323113,0,0.715108116,0.708971797
201920,0.715428481,0.826711185,0.568143637,0.854658019,0,0.715108116,0.696313569
201921,0.693220339,0.822370618,0.81100378,0.848466981,0,0.712299916,0.696313569
201922,0.681213369,0.820033389,0.832029609,0.272110849,0,0.961387251,0.553408839
201923,0.670061777,0.650918197,0.604630407,0.32370283,0,0.98385285,0.520541861
201924,0.683779503,0.649081803,0.6825126,0.563974057,0,0.98469531,0.546302465
201925,0.6990179,0.641068447,0.812578748,0.610259434,0,0.98230834,0.520097713
201926,0.680722319,0.804507513,0.809428811,0.927476415,0,0.98062342,0.560182101
201927,0.663297957,0.80851419,0.935741285,0.978773585,0,0.98638023,0.589384855
201928,0.651892919,0.808347245,0.799559008,0.975825472,0,0.98258916,0.625916056
201929,0.641295739,0.952921536,0.789557959,0.966096698,0,0.98188711,0.627692649
201930,0.630904483,0.968781302,0.802682696,0.682488208,0,0.98329121,0.625693982
201931,0.629035324,0.967612688,0.796199076,0.865860849,0,0.97683235,0.689318232
201932,0.627308728,0.973956594,0.822842293,0.878242925,0,0.98090424,0.645680657
201933,0.615222557,0.974958264,0.824469761,0.873820755,0,0.98160629,0.659005108
201934,0.640123555,0.912186978,0.819797354,0.868514151,0,0.9803426,0.695758383
201935,0.640012672,0.977295492,0.826700966,0.878832547,0,0.98230834,0.707417277
201936,0.668984635,0.980467446,0.831058379,0.879127358,0,0.98385285,0.730624028
201937,0.636290195,0.983305509,0.888045989,0.977004717,0,0.98371244,0.758494337
201938,0.630255029,0.973622705,0.970810584,0.986143868,0,0.97767481,0.733510993
201939,0.664771107,0.913188648,0.97800294,0.990860849,0,0.971637181,0.755940484
201940,0.650879138,0.674290484,0.979577908,0.99115566,0,0.837124403,0.755496336
201941,0.638903849,0.674290484,0.973776774,0.990271226,0,0.840073013,0.756273595
201942,0.649215904,0.677128548,0.972884293,0.988207547,0,0.841055883,0.759271597
201943,0.638539522,0.680300501,0.983567828,0.990860849,0,0.840634653,0.759271597
201944,0.659385395,0.68096828,0.979656657,0.997051887,0,0.709210896,0.758494337
201945,0.661254554,0.849081803,0.977609197,0.99557783,0,0.703454086,0.693648679
201946,0.677284968,0.851585977,0.970810584,1,0,0.707947206,0.785365312
201947,0.697275463,0.852587646,0.973435532,0.990860849,0,0.707525976,0.830224295
